City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,salahonda,2.1019,-78.7217,26.51,83,100,5.07,CO,1697141590
118,presidente epitacio,-21.7633,-52.1156,27.05,71,100,4.91,BR,1697141590
119,qaqortoq,60.7167,-46.0333,3.36,79,98,3.95,GL,1697141590
120,tupiza,-21.45,-65.7167,29.66,3,99,9.06,BO,1697141590
121,igarka,67.4667,86.5833,1.31,99,100,2.28,RU,1697141590
122,codrington,-38.2667,141.9667,11.8,89,100,6.98,AU,1697141590
123,arraial do cabo,-22.9661,-42.0278,25.92,73,0,4.63,BR,1697141337
124,asau,46.4333,26.4,11.51,67,91,3.11,RO,1697141590
125,tazovsky,67.4667,78.7,0.59,98,100,2.0,RU,1697141590
126,keflavik,64.0049,-22.5624,4.24,75,75,11.32,IS,1697141590
127,coxim,-18.5067,-54.76,37.15,30,98,6.87,BR,1697141521
128,egilsstadir,65.2653,-14.3948,3.95,87,100,9.77,IS,1697141590
129,bukoba,-1.3317,31.8122,20.34,76,6,0.53,TZ,1697141591
130,cosne-cours-sur-loire,47.3333,3.1667,18.03,47,100,2.1,FR,1697141591
131,karymskoye,51.6167,114.35,5.31,72,13,1.73,RU,1697141547
132,la manga del mar menor,37.6413,-0.7165,23.56,88,20,1.03,ES,1697141544
133,lorengau,-2.0226,147.2712,26.73,83,18,1.5,PG,1697141591
134,kerikeri,-35.2268,173.9474,13.28,95,19,0.89,NZ,1697141591
135,uturoa,-16.7333,-151.4333,26.05,70,13,6.99,PF,1697141591
136,vilyuysk,63.7553,121.6247,-2.12,82,99,4.92,RU,1697141591
137,suntar,62.1444,117.6319,2.3,94,100,3.13,RU,1697141539
138,palmer,42.1584,-72.3287,21.15,49,88,0.89,US,1697141459
139,tazacorte,28.629,-17.9293,26.54,32,0,2.57,ES,1697141591
140,muisne,0.6,-80.0333,26.25,76,80,4.03,EC,1697141591
141,sao jose da coroa grande,-8.8978,-35.1478,25.53,78,29,4.72,BR,1697141591
142,sabang,5.8933,95.3214,27.53,76,100,2.83,ID,1697141592
143,nema,57.5067,50.5011,6.26,88,100,7.1,RU,1697141592
144,fort wellington,6.4,-57.6,30.14,65,2,5.74,GY,1697141592
145,el calafate,-50.3408,-72.2768,7.81,83,17,4.41,AR,1697141592
146,puerto ayora,-0.7393,-90.3518,27.98,73,81,5.1,EC,1697141592
147,ilulissat,69.2167,-51.1,-3.99,58,75,1.03,GL,1697141592
148,holliston,42.2001,-71.4245,20.67,59,96,1.79,US,1697141592
149,hamilton,39.1834,-84.5333,27.17,48,0,4.12,US,1697141592
150,khanty-mansiysk,61.0042,69.0019,1.06,75,40,4.02,RU,1697141592
151,remire-montjoly,4.9167,-52.2667,31.02,62,0,7.2,GF,1697141592
152,grande prairie,55.1667,-118.8027,14.27,54,3,2.24,CA,1697141265
153,margaret river,-33.95,115.0667,10.19,89,8,4.51,AU,1697141592
154,mengcheng chengguanzhen,33.2661,116.566,17.67,69,95,2.27,CN,1697141593
155,taurage,55.2522,22.2897,11.02,70,9,6.77,LT,1697141593
156,borgarnes,64.5383,-21.9206,4.03,78,100,12.55,IS,1697141593
157,nar'yan-mar,67.6713,53.087,1.17,76,100,4.02,RU,1697141593
158,truro,50.2653,-5.0544,17.42,100,75,5.14,GB,1697141593
159,kavieng,-2.5744,150.7967,27.41,75,47,1.92,PG,1697141593
160,bubaque,11.2833,-15.8333,28.39,77,59,2.77,GW,1697141593
161,iskateley,67.6803,53.1512,1.12,76,100,4.02,RU,1697141593
162,cabo san lucas,22.8909,-109.9124,33.67,62,0,8.75,MX,1697141593
163,tura,25.5198,90.2201,21.31,79,0,1.22,IN,1697141411
164,arno,60.1167,18.6333,9.88,63,3,7.33,SE,1697141593
165,paulden,34.8856,-112.4682,22.53,16,0,3.13,US,1697141594
166,pisco,-13.7,-76.2167,23.03,60,20,3.09,PE,1697141398
167,andop,7.8611,125.7539,22.84,97,55,0.82,PH,1697141594
168,saint-philippe,-21.3585,55.7679,22.77,86,49,3.27,RE,1697141594
